Institution,Street,Hamlet,City,City_Code,County,State,Country,Latitude,Longitude
,,,Carbondale,,Jackson County,Illinois,United States,N37.72727,W89.21675
,,,Chandler,,Maricopa County,Arizona,United States,N33.30616,W111.84125
,,,Chatham,,Kent,,England,N51.37891,E0.52786
,,,Chernihiv,,Chernihivskyi raion,Chernihivska oblast,Ukraine,N51.50541,E31.28656
,,,Chester,,Cheshire,,England,N42.95675,W71.25728
,,,Chicago,,Cook County,Illinois,United States,N41.85003,W87.65005
,,,Chlum u Třeboně,,okres Jindřichův Hradec,Jihočeský kraj,Czechia,N48.96235,E14.92799
,,,Chotoviny,,okres Tábor,Jihočeský kraj,Czechia,N49.47803,E14.67695
,,,Chýnov,,okres Tábor,Jihočeský kraj,Czechia,N49.40677,E14.81122
,,,Cincinnati,,Hamilton County,Ohio,United States,N39.52367,W84.418
,,,Clearwater,,Pinellas County,Florida,United States,N27.77086,W82.67927
,,,Cleveland,,Bolivar County,Mississippi,United States,N33.744,W90.72482
,,,Cleveland,,Cuyahoga County,Ohio,United States,N41.4995,W81.69541
,,,Clifton Park,,Saratoga County,New York,United States,N42.86563,W73.77095
,,,Colchester,,New London County,Connecticut,United States,N41.57539,W72.3333
,,,Connecticut,,,Connecticut,United States,N41.66704,W72.66648
,,,Cullman,,Cullman County,Alabama,United States,N34.17482,W86.84361
,,,Cuxhaven,,,Niedersachsen,Germany,N53.86828,E8.69902
,,,Czarnia,,powiat łomżyński,Podlaskie Voivodeship,Poland,N53.26429,E21.61182
,,,Czarnkow,,powiat czarnkowsko-trzcianecki,województwo wielkopolskie,Poland,N52.90414,E16.56635
,,,Dallas,,Dallas County,Texas,United States,N32.78306,W96.80667
,,,Darmstadt,,Darmstadt,Hessen,Germany,N49.87167,E8.65027
,,,Davenport,,Scott County,Iowa,United States,N41.52364,W90.57764
,,,Davydovka,,Svyetlahorsk rajon,Homyel voblasts,Belarus,N52.540749161770385,E29.530934198905342
,,,Daytona Beach,,Volusia County,Florida,United States,N29.21081,W81.02283
,,,Deerfield Beach,,Broward County,Florida,United States,N26.31841,W80.09977
,,,Des Moines,,Polk County,Iowa,United States,N41.60054,W93.60911
,,,Detroit,,Wayne County,Michigan,United States,N42.33143,W83.04575
,,,Dobříš,,okres Příbram,Středočeský kraj,Czechia,N49.78113,E14.16717
,,,Dolní Kralovice,,okres Benešov,Středočeský kraj,Czechia,N49.64495,E15.17866
,,,Dover,,Dutchess County,New York,United States,N41.74121,W73.57652
,,,Duarte,,Los Angeles County,California,United States,N34.13945,W117.97729
,,,Dunstable,,Bedfordshire,,England,N51.88571,W0.52288
,,,Dymer,,Vyshhorodskyi raion,Kyivska oblast,Ukraine,N50.78923,E30.30287
,,,Děčín,,okres Děčín,Ústecký kraj,Czechia,N50.78215,E14.21478
,,,East Granby,,Hartford County,Connecticut,United States,N41.94181,W72.72752
,,,East Los Angeles,,Los Angeles County,California,United States,N34.0239,W118.17202
,,,Eastchester,,Westchaster County,New York,United States,N40.95833,W73.80861
,,,Elizabeth,,Union County,New Jersey,United States,N40.66399,W74.2107
,,,Englewood,,Arapahoe County,Colorado,United States,N39.64777,W104.98776
,,,Englewood,,Bergen County,New Jersey,United States,N40.89288,W73.97264
,,,Erie,,Erie County,Pennsylvania,United States,N42.12922,W80.08506
,,,Fair Lawn,,Bergen County,New Jersey,United States,N40.94038,W74.13181
,,,Fairfax,,,Virginia,United States,N38.84666,W77.30822
,,,Fairview,,Bergen County,New Jersey,United States,N40.8126,W73.99903
,,,Fall River,,Bristol County,Massachusetts,United States,N41.70149,W71.15505
,,,Ferndale,,Oakland County,Michigan,United States,N42.46059,W83.13465
,,,Filipow,,powiat suwalski,województwo podlaskie,Poland,N54.18037,E22.62076
,,,Florida,,,Florida,United States,N28.75054,W82.5001
,,,Fort Lauderdale,,Broward County,Florida,United States,N26.12231,W80.14338
,,,France,,,,France,N46.0,E2.0
,,,Frankfurt am Main,,Darmstadt,Hessen,Germany,N50.11552,E8.68417
,,,Gaithersburg,,Montgomery County,Maryland,United States,N39.14344,W77.20137
,,,Germany,,,,Germany,N51.5,E10.5
,,,Glasgow,,,Scotland,United Kingdom,N55.86515,W4.25763
,,,Glen Ridge,,Essex County,New Jersey,United States,N40.80538,W74.20376
,,,Golčův Jeníkov,,okres Havlíčkův Brod,Vysočina kraj,Czechia,N49.81626,E15.47686
,,,Great Neck,,Nassau County,New York,United States,N40.80066,W73.72846
,,,Green Brook Township,,Somerset County,New Jersey,United States,N40.60431,W74.48417
,,,Greensboro,,Guilford County,North Carolina,United States,N36.07264,W79.79198
,,,Greenville,,Washington County,Mississippi,United States,N33.40898,W91.05978
,,,Greystone Park,,Morris County,New Jersey,United States,N40.8331,W74.50016
,,,Grodzisk Wielkopolski,,powiat grodziski,województwo wielkopolskie,Poland,N52.22762,E16.36534
,,,Grove City,,Mercer County,Pennsylvania,United States,N41.15784,W80.08867
,,,Guilderland,,Albany County,New York,United States,N42.70452,W73.91151
,,,Göteborg,,Göteborg och Bohus,,Sverige,N57.70716,E11.96679
,,,Hamburg,,,Freie und Hansestadt Hamburg,Germany,N53.55073,E9.99302
,,,Hamilton,,,,Bermuda,N32.2949,W64.78303
,,,Harrisville,,Butler County,Pennsylvania,United States,N41.13673,W80.00922
,,,Hartford,,Hartford County,Connecticut,United States,N41.76721,W72.67868
,,,Haverstraw,,Rockland County,New York,United States,N41.19759,W73.96458
,,,Hayden,,Blount County,Alabama,United States,N33.8926,W86.75777
,,,Hempstead,,Nassau County,New York,United States,N40.70621,W73.61874
,,,Hluboká nad Vltavou,,okres České Budějovice,Jihočeský kraj,Czechia,N49.05225,E14.43427
,,,Hluboš,,okres Příbram,Středočeský kraj,Czechia,N49.74622,E14.02019
,,,Hlusk,,Hlusk rajon,Mahilyow voblasts,Belarus,N52.89109,E28.68645
,,,Hollywood,,Broward County,Florida,United States,N26.0112,W80.14949
,,,Honolulu,,Honolulu,Hawaii,United States,N21.30694,W157.85833
,,,Horní Cerekev,,okres Pelhřimov,Vysočina kraj,Czechia,N49.32026,E15.32769
,,,Houston,,Harris County,Texas,United States,N29.76328,W95.36327
,,,Hořice,,okres Jičín,Hradec Králové kraj,Czechia,N50.36609,E15.63183
,,,Hořovice,,okres Beroun,Středočeský kraj,Czechia,N49.83597,E13.90268
,,,Hradištko,,okres Praha-západ,Středočeský kraj,Czechia,N49.86828,E14.40935
,,,Hroby,,okres Tábor,Jihočeský kraj,Czechia,N49.38888,E14.84583
,,,Humpolec,,okres Pelhřimov,Vysočina kraj,Czechia,N49.54152,E15.35932
,,,Hungary,,,,Hungary,N47.0,E20.0
,,,Indianapolis,,Marion County,Indiana,United States,N39.76838,W86.15804
,,,Innsbruck,,,,Austria,N47.26266,E11.39454
,,,Ipswich,,Suffolk,,England,N52.05917,E1.15545
,,,Irapuato,,,Guanajuato,Mexico,N20.67675,W101.35628
,,,Jerusalem,,,Jerusalem District,Israel,N31.76904,E35.21633
,,,Jihlava,,okres Jihlava,Vysočina kraj,Czechia,N49.3961,E15.59124
,,,Jindřichův Hradec,,okres Jindřichův Hradec,Jihočeský kraj,Czechia,N49.14404,E15.00301
,,,Kalinkavichy,,Kalinkavichy rajon,Homyel voblasts,Belarus,N52.12843,E29.32989
,,,Kalvarija,,Kalvarija Municipality.,Marijampolė County,Lithuania,N54.417,E23.223
,,,Kandel,,Germersheim,Rheinland-Pfalz,Germany,N49.08277,E8.1972
,,,Kaniv,,Cherkaskyi raion,Cherkashchyna oblast,Ukraine,N49.75187,E31.47003
,,,Kansas City,,Jackson County,Missouri,United States,N39.09973,W94.57857
,,,Karlovy Vary,,okres Karlovy Vary,Karlovarský kraj,Czechia,N50.23271,E12.87117
,,,Kaunas,,KaunasMunicipality,Kaunas County,Lithuania,N54.90156,E23.90909
,,,Keene,,,Ontario,Canada,N44.25012,W78.16622
,,,Kingston-upon-Hull,,Yorkshire East Riding,,England,N53.7446,W0.33525
,,,Kirtorf,,Vogelsbergkreis,Hessen,Germany,N50.76942,E9.10389
,,,Kivshovata,,Bilatsverskyi raion,Kyivska oblast,Ukraine,N49.48783,E30.61643
,,,Klinsk,,Kalinkavichy rajon,Homyel voblasts,Belarus,N52.1711,E29.0988
,,,Konotop,,Naraulianski rajon,Homyel voblasts,Belarus,N51.24032,E33.20263
,,,Kovel',,Kovel' raion,Volyn oblast,Ukraine,N51.21548,E24.70077
,,,Kyiv,,,,Ukraine,N50.45466,E30.5238
,,,Körmend,,Körmendi járás,Vas vármegye,Hungary,N47.01096,E16.60596
,,,Kęty,,powiat oświęcimski,województwo małopolskie,Poland,N49.88214,E19.22333
,,,Křižanov,,okres Písek,Jihočeský kraj,Czechia,N49.39873,E14.37813
,,,La Ceiba,,,,Honduras,N15.75971,W86.78221
,,,Lakewood,,Jefferson County,Colorado,United States,N39.70471,W105.08137
,,,Lapichy,,Asipovichy rajon,Mahilyow voblasts,Belarus,N53.4354,E28.5376
,,,Las Vegas,,Clark County,Nevada,United States,N36.17497,W115.13722
,,,Latvia,,,,Latvia,N57.0,E25.0
,,,Le Havre,,,,France,N49.49346,E0.10785
,,,Lebedyn,,Shpolyanskyi district,Cherkashchyna oblast,Ukraine,N48.96517044862319,E31.526858644419075
,,,Levittown,,Nassau County,New York,United States,N40.72593,W73.51429
,,,Libkova Voda,,okres Pelhřimov,Vysočina kraj,Czechia,N49.37649,E15.19101
,,,Liepāja,,,,Latvia,N56.50474,E21.01085
,,,Linz,,,Oberösterreich,Austria,N48.30639,E14.28611
,,,Liverpool,,Merseyside,,England,N53.41058,W2.97794
,,,Loděnice,,okres Beroun,Středočeský kraj,Czechia,N49.99488,E14.157
,,,Lomas de Zamora,,,Buenos Aires,Argentina,S34.7574,W58.40279
,,,London,,Greater London,,England,N51.50853,W0.12574
,,,Long Beach,,Nassau County,New York,United States,N40.58844,W73.65791
,,,Los Angeles,,Los Angeles County,California,United States,N34.05223,W118.24368
,,,Luka nad Jihlavou,,okres Jihlava,Vysočina kraj,Czechia,N49.37403,E15.70194
,,,Malešov,,okres Kutná Hora,Středočeský kraj,Czechia,N49.91102,E15.22434
,,,Mateyivtsi,,Kolomskyi raion,Ivano-Frankivska oblast,Ukraine,N48.50209,E25.16415
,,,Mayfield Heights,,Cuyahoga County,Ohio,United States,N41.51922,W81.4579
,,,Maywood,,Cook County,Illinois,United States,N41.8792,W87.84312
,,,Mazyr,,Mazyrski rajon,Homyel voblasts,Belarus,N52.04975,E29.26311
,,,McKees Rocks,,Allegheny County,Pennsylvania,United States,N40.46562,W80.06561
,,,Melbourne,,,Victoria,Australia,S37.814,E144.96332
,,,Meriden,,New Haven County,Connecticut,United States,N41.53675,W72.79434
,,,Merrick,,Nassau County,New York,United States,N40.66288,W73.55152
,,,Miami,,Dade County,Florida,United States,N25.77427,W80.19366
,,,Milford,,New Haven County,Connecticut,United States,N41.22232,W73.0565
,,,Milín,,okres Příbram,Středočeský kraj,Czechia,N49.63192,E14.046
,,,Mishawaka,,St. Joseph County,Indiana,United States,N41.66111,W86.18328
,,,Monterey Park,,Los Angeles County,California,United States,N34.06251,W118.12285
,,,Montgomery,,Montgomery County,Alabama,United States,N32.36681,W86.29997
,,,Morton Grove,,Cook County,Illinois,United States,N42.04059,W87.78256
,,,Moscow,,,,Russia,N55.75204,E37.61781
,,,Most,,okres Most,Ústecký kraj,Czechia,N50.50301,E13.63617
,,,Mount Vernon,,Westchester County,New York,United States,N40.9126,W73.83708
,,,Muscatine,,Muscatine County,Iowa,United States,N41.42471,W91.03752
,,,Mushichi,,Kalinkavichy rajon,Homyel voblasts,Belarus,N52.512843651960566,E29.058994700311143
,,,Mykolaiv,,Mykolajivskyi raion,Mykolaivska oblast,Ukraine,N46.97625,E31.99296
,,,Myslkovice,,okres Tábor,Jihočeský kraj,Czechia,N49.29912,E14.7456
,,,Nassau,,Rensselaer County,New York,United States,N42.51591,W73.61012
,,,Natchitoches,,Natchitoches Parish,Louisiana,United States,N31.76072,W93.08627
,,,Netanya,,HaSharon,Central District,Israel,N32.33291,E34.85992
,,,Neustupov,,okres Benešov,Středočeský kraj,Czechia,N49.615,E14.6986
,,,Neuwied,,Neuwied,Rhineland-Palatinate,Germany,N50.4336,E7.47057
,,,New Haven,,New Haven County,Connecticut,United States,N41.30773,W72.92656
,,,New London,,New London County,Connecticut,United States,N41.35774,W72.11769
,,,New Orleans,,Orleans Parish,Louisiana,United States,N29.95465,W90.07507
,,,New York,,,New York,United States,N40.71427,W74.00597
,,,New York,,New York County,New York,United States,N40.77898,W73.96271
,,,Newark,,Essex County,New Jersey,United States,N40.73566,W74.17237
,,,Norfolk,,,Virginia,United States,N36.84681,W76.28522
,,,North Las Vegas,,Clark County,Nevada,United States,N36.20079,W115.12316
,,,Novomyrhorod,,Novoukrainka raion,Kirovohradska oblast,Ukraine,N48.81692,E31.64985
,,,Novoselki,,,Ivanovo oblast,Russia,N56.61744,E40.03401
,,,Nová Cerekev,,okres Pelhřimov,Vysočina kraj,Czechia,N49.41723,E15.11675
,,,Oceanside,,Nassau County,New York,United States,N40.63871,W73.64013
,,,Odesa,,Odesa raion,Odesa oblast,Ukraine,N46.48572,E30.74383
,,,Oil City,,Venango County,Pennsylvania,United States,N41.43395,W79.70644
,,,Oneonta,,Blount County,Alabama,United States,N33.94815,W86.47276
,,,Orenburg,,,Orenburg oblast,Russia,N51.76712,E55.09883
,,,Pacov,,okres Tábor,Jihočeský kraj,Czechia,N49.47076,E15.00168
,,,Palestine,,,,Palestine,N31.92157,E35.20329
,,,Palm Beach,,Palm Beach County,Florida,United States,N26.71534,W80.05337
,,,Palm Desert,,Riverside County,California,United States,N33.72255,W116.37697
,,,Panama Canal Zone,,,,Panamá,N9.35355,W79.89326
,,,Parichi,,Svetlahorsk rajon,Homyel voblasts,Belarus,N52.8042,E29.4176
,,,Paris,,,,France,N48.85341,E2.3488
,,,Paseky,,okres Tábor,Jihočeský kraj,Czechia,N49.78409,E16.12553
,,,Petah Tikva,,Petah Tikva,Central District,Israel,N32.08707,E34.88747
,,,Philadelphia,,Philadelphia County,Pennsylvania,United States,N39.95238,W75.16362
,,,Piaski,,powiat gostyński,województwo wielkopolskie,Poland,N51.88497,E17.07293
,,,Pietrykaŭ,,Pietrykaŭski rajon,Homyel voblasts,Belarus,N52.12725727476021,E28.491258191242046
,,,Pine Township,,Mercer County,Pennsylvania,United States,N41.16814,W80.06575
,,,Pittsford,,Monroe County,New York,United States,N43.09062,W77.515
,,,Plymouth Meeting,,Montgomery County,Pennsylvania,United States,N40.10233,W75.27435
,,,Poděbrady,,okres Nymburk,Středočeský kraj,Czechia,N50.14242,E15.11881
,,,Poliske,,Vyshhorod raion,Kyivska oblast,Ukraine,N51.24141,E29.38618
,,,Pompano Beach,,Broward County,Florida,United States,N26.23786,W80.12477
,,,Portsmouth,,,Virginia,United States,N36.83543,W76.29827
,,,Postoloprty,,okres Louny,Ústecký kraj,Czechia,N50.35979,E13.70291
,,,Poznań,,M. Poznań,województwo wielkopolskie,Poland,N41.51977,W81.63374
,,,Praha,,,Hlavní město Praha,Czechia,N50.08804,E14.42076
,,,Przerośl,,Powiat suwalski,Podlasie,Poland,N54.25179,E22.65776
,,,Přehořov,,okres Tábor,Jihočeský kraj,Czechia,N49.2476,E14.75623
,,,Příbram,,okres Příbram,Středočeský kraj,Czechia,N49.68988,E14.01043
,,,Queens,,Queens County,New York,United States,N40.71318,W73.83121
,,,Radenín,,okres Tábor,Jihočeský kraj,Czechia,N49.36938,E14.84068
,,,Ratibořské Hory,,okres Tábor,Jihočeský kraj,Czechia,N49.46267,E14.76981
,,,Razumnoye,,Belgorodsky raion,Belgorod oblast,Ukraine,N50.53439,E36.68462
,,,Rečyca,,Rečyca rajon,Homyel voblasts,Belarus,N52.37099,E30.38475
,,,Riga,,,,Latvia,N56.946,E24.10589
,,,Rio De Janeiro,,,Rio De Janeiro,Brazil,S22.90642,W43.18223
,,,River Edge,,Bergen County,New Jersey,United States,N40.92871,W74.03986
,,,Riverside,,Riverside County,California,United States,N33.98209,W117.37587
,,,Rochester,,Monroe County,New York,United States,N43.15478,W77.61556
,,,Rock Island,,Rock Island County,Illinois,United States,N41.50948,W90.57875
,,,Rockford,,Winnebago and Ogle Counties,Illinois,United States,N42.27113,W89.094
,,,Rockville Centre,,Nassau County,New York,United States,N40.65871,W73.64124
,,,Romania,,,,Romania,N46.0,E25.0
,,,Romayor,,Liberty County,Texas,United States,N30.452647064836395,W94.84326269426793
,,,Roselle,,Union County,New Jersey,United States,N40.65251,W74.25659
,,,Rosh Haayin,,Petah Tikva,Central District,Israel,N32.09556,E34.95664
,,,Roslyn Harbor,,Nassau County,New York,United States,N40.81654,W73.63672
,,,Rotterdam,,,South Holland,Netherlands,N42.78702,W73.97096
,,,Rudolfov,,okres České Budějovice,Jihočeský kraj,Czechia,N48.99339,E14.54179
,,,Rumburk,,okres Děčín,Ústecký kraj,Czechia,N50.95151,E14.55699
,,,Rybníky,,okres Příbram,Středočeský kraj,Czechia,N49.75264,E14.2059
,,,Saint Louis,,Saint Louis City,Missouri,United States,N38.62727,W90.19789
,,,Saint Petersburg,,,,Russia,N59.93863,E30.31413
,,,Saint Petersburg,,Pinellas County,Florida,United States,N27.77086,W82.67927
,,,San Antonio,,Bexar County,Texas,United States,N29.42412,W98.49363
,,,San Diego,,San Diego County,California,United States,N32.71571,W117.16472
,,,San Fernando,,Los Angeles County,California,United States,N34.28195,W118.43897
,,,San Francisco,,San Francisco County,California,United States,N37.77493,W122.41942
,,,San Juan,,,Puerto Rico,United States,N18.46633,W66.10572
,,,Santa Monica,,Los Angeles County,California,United States,N34.01949,W118.49138
,,,Santos,,,,Brazil,S23.96083,W46.33361
,,,Sarasota,,Sarasota County,Florida,United States,N27.33643,W82.53065
,,,Schenectady,,Schenectady County,New York,United States,N42.81424,W73.93957
,,,Schwabach,,Mittelfranken,Bayern,Germany,N49.33047,E11.02346
,,,Scotland,,,Scotland,United Kingdom,N56.0,W4.0
,,,Sedlec,,okres České Budějovice,Jihočeský kraj,Czechia,N49.07283,E14.2865
,,,Sedlčany,,okres Příbram,Středočeský kraj,Czechia,N49.66057,E14.42664
,,,Shawnee Mission,,Johnson County,Kansas,United States,N39.02,W94.66583
,,,Sioux City,,Woodbury County,Iowa,United States,N42.49999,W96.40031
,,,Skokie,,Cook County,Illinois,United States,N42.03336,W87.73339
,,,Skrygalov,,Mazyrski rajon,Homyel voblasts,Belarus,N52.1014,E28.8213
,,,Smithtown,,Suffolk County,New York,United States,N40.85593,W73.20067
,,,Smolensk,,,Smolensk oblast,Russia,N54.77826,E32.05088
,,,South Bend,,St Joseph County,Indiana,United States,N41.68338,W86.25001
,,,Southampton,,Hampshire,,England,N42.22926,W72.73009
,,,Southbury,,New Haven County,Connecticut,United States,N41.47093,W73.2515
,,,Springfield,,Sangamon County,Illinois,United States,N39.80172,W89.64371
,,,St. Petersburg,,Pinellas County,Florida,United States,N27.77086,W82.67927
,,,Stamford,,Fairfield County,Connecticut,United States,N41.22496,W73.3712
,,,Staten Island,,Richmond County,New York,United States,N40.56233,W74.13986
,,,Stráž Nad Nežárkou,,okres Jindřichův Hradec,Jihočeský kraj,Czechia,N49.06971,E14.90551
,,,Strážov,,okres Klatovy,Plzeňský kraj,Czechia,N49.30326,E13.24623
,,,Stsyapy,,Zhlobin District,Homyel’ Voblasc’,Belarus,N52.8123,E29.9511
,,,Stádlec,,okres Tábor,Jihočeský kraj,Czechia,N49.373,E14.49703
,,,Stříbřec,,okres Jindřichův Hradec,Jihočeský kraj,Czechia,N49.02989,E14.87825
,,,Sun City West,,Maricopa County,Arizona,United States,N33.59754,W112.27182
,,,Suwałki,,powiat suwalski,województwo podlaskie,Poland,N54.16655,E22.81818
,,,Sušice,,okres Klatovy,Plzeňský kraj,Czechia,N49.23106,E13.52018
,,,Szombathely,,Szombathelyi járás),Vas vármegye,Hungary,N47.23088,E16.62155
,,,Sárospatak,,Sárospataki járás,Borsod-Abaúj-Zemplén vármegye,Hungary,N48.3245,E21.57383
,,,Tampa,,Hillsborough County,Florida,United States,N27.94752,W82.45843
,,,Tarashcha,,Bilatsverskyi raion,Kyivska oblast,Ukraine,N49.55883,E30.49967
,,,Tel Aviv-Yafo,,,Tel Aviv District,Israel,N32.08088,E34.78057
,,,Telč,,okres Jihlava,Vysočina kraj,Czechia,N49.18418,E15.45275
,,,Thessalonika,,,Central Macedonia,Greece,N40.64072,E22.93493
,,,Titusville,,Crawford County,Pennsylvania,United States,N41.627,W79.67366
,,,Toronto,,,Ontario,Canada,N43.70643,W79.39864
,,,Trhové Dušníky,,okres Příbram,Středočeský kraj,Czechia,N49.71379,E14.01226
,,,Trimble,,Cullman County,Alabama,United States,N34.09343,W86.94861
,,,Tucson,,Pima County,Arizona,United States,N32.22174,W110.92648
,,,Tučapy,,okres Tábor,Jihočeský kraj,Czechia,N49.29129,E14.80341
,,,Týn nad Vltavou,,okres České Budějovice,Jihočeský kraj,Czechia,N49.2234,E14.42057
